slug,name,city,state,address,full_address
highway-280-cw,Mister Car Wash Highway 280 CW,Birmingham,AL,4621 Hwy 280 South,"4621 Hwy 280 South, Birmingham, AL"
vestavia-wash,Mister Car Wash Vestavia Wash,Vestavia Hills,AL,611 Montgomery Hwy,"611 Montgomery Hwy, Vestavia Hills, AL"
oxford,Mister Car Wash Oxford,Oxford,AL,65 Plaza Lane,"65 Plaza Lane, Oxford, AL"
madison,Mister Car Wash Madison,Madison,AL,5509 Promenade Point Pkwy,"5509 Promenade Point Pkwy, Madison, AL"
hartselle,Mister Car Wash Hartselle,Huntsville,AL,1206 Highway 31 Nw,"1206 Highway 31 Nw, Huntsville, AL"
bassette-ave,Mister Car Wash Bassette Ave,Decatur,AL,721 14th St Se,"721 14th St Se, Decatur, AL"
limestone,Mister Car Wash Limestone,Athens,AL,1321 Us Highway 72 E,"1321 Us Highway 72 E, Athens, AL"
setter,Mister Car Wash Setter,Decatur,AL,627 Beltline Rd Sw,"627 Beltline Rd Sw, Decatur, AL"
9th-street,Mister Car Wash 9th Street,Decatur,AL,2240 Beltline Rd Sw,"2240 Beltline Rd Sw, Decatur, AL"
azalea,Mister Car Wash Azalea,Florence,AL,271 Azalea Dr,"271 Azalea Dr, Florence, AL"
muscle-shoals,Mister Car Wash Muscle Shoals,Muscle Shoals,AL,702 Avalon Ave,"702 Avalon Ave, Muscle Shoals, AL"
cloverdale,Mister Car Wash Cloverdale,Florence,AL,2914 Cloverdale Rd,"2914 Cloverdale Rd, Florence, AL"
e-madison,Mister Car Wash E. Madison,Huntsville,AL,5509 Promenade Point Pkwy,"5509 Promenade Point Pkwy, Huntsville, AL"
tucson-mall-2552,Mister Car Wash Tucson Mall,Tucson,AZ,4646 N Oracle,"4646 N Oracle, Tucson, AZ"
rillito-2552,Mister Car Wash Rillito,Tucson,AZ,4646 N Oracle,"4646 N Oracle, Tucson, AZ"
twin-peaks-1331,Mister Car Wash Twin Peaks,Tucson,AZ,6520 W Marana Center Bl,"6520 W Marana Center Bl, Tucson, AZ"
cardinal,Mister Car Wash Cardinal,Tucson,AZ,2850 W Valencia Road,"2850 W Valencia Road, Tucson, AZ"
craycroft,Mister Car Wash Craycroft,Tucson,AZ,5515 E Grant Rd,"5515 E Grant Rd, Tucson, AZ"
tangerine,Mister Car Wash Tangerine,Tucson,AZ,11897 N Tangelo Park Place,"11897 N Tangelo Park Place, Tucson, AZ"
houghton,Mister Car Wash Houghton,Tucson,AZ,7471 S Houghton Rd,"7471 S Houghton Rd, Tucson, AZ"
pandora-ave,Mister Car Wash Pandora Ave,Tucson,AZ,3820 S Pandora Ave,"3820 S Pandora Ave, Tucson, AZ"
thornydale,Mister Car Wash Thornydale,Tucson,AZ,3870 W Cortaro Farms Rd,"3870 W Cortaro Farms Rd, Tucson, AZ"
sierra-vista,Mister Car Wash Sierra Vista,Sierra Vista,AZ,3850 E Mlk Jr Pkwy,"3850 E Mlk Jr Pkwy, Sierra Vista, AZ"
sahuarita,Mister Car Wash Sahuarita,Sahuarita,AZ,16250 S Rancho Sahuarita Blvd,"16250 S Rancho Sahuarita Blvd, Sahuarita, AZ"
